experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
2;DT;20;4840;100.0;95.0;93.33333333333333;100.0;96.0;1;4;4;5
2;DUM;20;4840;50.0;25.0;0.0;0.0;0.0;5;0;0;5
2;KNN;20;4840;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;20;4840;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;20;4840;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;20;4840;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;20;4840;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;20;4840;100.0;95.0;100.0;90.0;93.33333333333333;1;4;4;5
2;DT;22;4400;100.0;95.0;93.33333333333333;100.0;96.0;1;4;4;5
2;DUM;22;4400;52.156862745098046;39.0;23.333333333333332;23.333333333333332;23.333333333333332;3;0;0;3
2;KNN;22;4400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;22;4400;50.0;50.0;50.0;100.0;66.42857142857142;1;0;0;1
2;NB;22;4400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;22;4400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;22;4400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;22;4400;81.17647058823529;71.0;68.0;70.0;64.76190476190476;3;2;2;5
2;DT;25;3872;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;25;3872;54.904761904761905;61.33333333333333;60.0;60.0;60.0;0;0;0;0
2;KNN;25;3872;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;25;3872;50.0;50.0;50.0;100.0;66.19047619047619;2;0;0;2
2;NB;25;3872;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;25;3872;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;25;3872;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;25;3872;100.0;96.0;100.0;93.33333333333333;96.0;1;4;4;5
2;DT;32;3025;100.0;97.14285714285714;95.0;100.0;97.14285714285714;1;4;4;5
2;DUM;32;3025;60.738461538461536;62.85714285714285;61.666666666666664;65.0;62.85714285714285;0;0;0;0
2;KNN;32;3025;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;32;3025;50.0;50.0;50.0;100.0;66.54545454545453;1;0;0;1
2;NB;32;3025;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;32;3025;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;32;3025;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;32;3025;100.0;97.14285714285714;100.0;93.33333333333333;96.0;1;4;4;5
2;DT;40;2420;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;40;2420;56.25;75.0;75.0;75.0;75.0;0;0;0;0
2;KNN;40;2420;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;40;2420;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;40;2420;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;40;2420;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;40;2420;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;40;2420;100.0;97.5;100.0;95.0;97.14285714285714;1;4;4;5
2;DT;44;2200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
