index;experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
66;2;RF;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
67;2;RF;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
68;2;RF;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
69;2;RF;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
75;2;SVM;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
76;2;SVM;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
77;2;SVM;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
78;2;SVM;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
79;2;SVM;10;9680;100.0;100.0;100.0;100.0;100.0;0;1;1;1
60;2;XGB;10;9680;50.0;50.0;0.0;0.0;0.0;0;0;0;0
61;2;XGB;10;9680;50.0;50.0;0.0;0.0;0.0;0;0;0;0
62;2;XGB;10;9680;50.0;50.0;0.0;0.0;0.0;0;0;0;0
63;2;XGB;10;9680;50.0;50.0;0.0;0.0;0.0;0;0;0;0
64;2;XGB;10;9680;50.0;50.0;0.0;0.0;0.0;0;0;0;0
165;2;DT;11;8800;100.0;66.66666666666666;50.0;100.0;66.66666666666666;1;0;0;1
166;2;DT;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
167;2;DT;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
168;2;DT;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
169;2;DT;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
160;2;DUM;11;8800;66.66666666666666;33.33333333333333;0.0;0.0;0.0;1;0;0;1
161;2;DUM;11;8800;44.44444444444444;100.0;100.0;100.0;100.0;0;0;1;1
162;2;DUM;11;8800;50.0;0.0;0.0;0.0;0.0;1;0;0;1
163;2;DUM;11;8800;50.0;0.0;0.0;0.0;0.0;1;0;0;1
164;2;DUM;11;8800;50.0;0.0;0.0;0.0;0.0;1;0;0;1
175;2;KNN;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
176;2;KNN;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
177;2;KNN;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
178;2;KNN;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
179;2;KNN;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
190;2;MLP;11;8800;55.55555555555556;33.33333333333333;33.33333333333333;100.0;50.0;1;0;0;1
191;2;MLP;11;8800;55.55555555555556;33.33333333333333;0.0;0.0;0.0;1;0;0;1
192;2;MLP;11;8800;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
193;2;MLP;11;8800;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
194;2;MLP;11;8800;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
170;2;NB;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
171;2;NB;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
172;2;NB;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
173;2;NB;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
174;2;NB;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
185;2;RF;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
186;2;RF;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
187;2;RF;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
188;2;RF;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
189;2;RF;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
195;2;SVM;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
196;2;SVM;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
197;2;SVM;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
198;2;SVM;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
199;2;SVM;11;8800;100.0;100.0;100.0;100.0;100.0;0;1;1;1
180;2;XGB;11;8800;55.55555555555556;33.33333333333333;33.33333333333333;100.0;50.0;1;0;0;1
181;2;XGB;11;8800;55.55555555555556;33.33333333333333;0.0;0.0;0.0;1;0;0;1
182;2;XGB;11;8800;50.0;50.0;0.0;0.0;0.0;0;0;0;0
183;2;XGB;11;8800;50.0;50.0;0.0;0.0;0.0;0;0;0;0
184;2;XGB;11;8800;50.0;50.0;0.0;0.0;0.0;0;0;0;0
325;2;DT;16;6050;100.0;75.0;66.66666666666666;100.0;80.0;1;0;0;1
326;2;DT;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
327;2;DT;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
328;2;DT;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
329;2;DT;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
320;2;DUM;16;6050;41.66666666666667;25.0;0.0;0.0;0.0;1;0;0;1
321;2;DUM;16;6050;38.46153846153847;33.33333333333333;0.0;0.0;0.0;1;0;0;1
322;2;DUM;16;6050;38.46153846153847;33.33333333333333;0.0;0.0;0.0;1;0;0;1
323;2;DUM;16;6050;69.23076923076923;100.0;100.0;100.0;100.0;0;0;1;1
324;2;DUM;16;6050;69.23076923076923;100.0;100.0;100.0;100.0;0;0;1;1
335;2;KNN;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
336;2;KNN;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
337;2;KNN;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
338;2;KNN;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
339;2;KNN;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
350;2;MLP;16;6050;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
351;2;MLP;16;6050;53.84615384615385;33.33333333333333;33.33333333333333;100.0;50.0;1;0;0;1
352;2;MLP;16;6050;53.84615384615385;33.33333333333333;33.33333333333333;100.0;50.0;1;0;0;1
353;2;MLP;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
354;2;MLP;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
330;2;NB;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
331;2;NB;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
332;2;NB;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
333;2;NB;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
334;2;NB;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
345;2;RF;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
346;2;RF;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
347;2;RF;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
348;2;RF;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
349;2;RF;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
355;2;SVM;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
356;2;SVM;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
357;2;SVM;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
358;2;SVM;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
359;2;SVM;16;6050;100.0;100.0;100.0;100.0;100.0;0;1;1;1
340;2;XGB;16;6050;50.0;50.0;0.0;0.0;0.0;0;0;0;0
341;2;XGB;16;6050;53.84615384615385;33.33333333333333;33.33333333333333;100.0;50.0;1;0;0;1
342;2;XGB;16;6050;53.84615384615385;33.33333333333333;33.33333333333333;100.0;50.0;1;0;0;1
343;2;XGB;16;6050;53.84615384615385;33.33333333333333;0.0;0.0;0.0;1;0;0;1
344;2;XGB;16;6050;53.84615384615385;33.33333333333333;0.0;0.0;0.0;1;0;0;1
525;2;DT;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
526;2;DT;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
527;2;DT;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
528;2;DT;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
529;2;DT;20;4840;100.0;75.0;66.66666666666666;100.0;80.0;1;0;0;1
520;2;DUM;20;4840;50.0;25.0;0.0;0.0;0.0;1;0;0;1
521;2;DUM;20;4840;50.0;25.0;0.0;0.0;0.0;1;0;0;1
522;2;DUM;20;4840;50.0;25.0;0.0;0.0;0.0;1;0;0;1
523;2;DUM;20;4840;50.0;25.0;0.0;0.0;0.0;1;0;0;1
524;2;DUM;20;4840;50.0;25.0;0.0;0.0;0.0;1;0;0;1
535;2;KNN;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
536;2;KNN;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
537;2;KNN;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
538;2;KNN;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
539;2;KNN;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
550;2;MLP;20;4840;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
551;2;MLP;20;4840;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
552;2;MLP;20;4840;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
553;2;MLP;20;4840;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
554;2;MLP;20;4840;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
530;2;NB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
531;2;NB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
532;2;NB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
533;2;NB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
534;2;NB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
545;2;RF;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
546;2;RF;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
547;2;RF;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
548;2;RF;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
549;2;RF;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
555;2;SVM;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
556;2;SVM;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
557;2;SVM;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
558;2;SVM;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
559;2;SVM;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
540;2;XGB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
541;2;XGB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
542;2;XGB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
543;2;XGB;20;4840;100.0;100.0;100.0;100.0;100.0;0;1;1;1
544;2;XGB;20;4840;100.0;75.0;100.0;50.0;66.66666666666666;1;0;0;1
645;2;DT;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
646;2;DT;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
647;2;DT;22;4400;100.0;75.0;66.66666666666666;100.0;80.0;1;0;0;1
648;2;DT;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
649;2;DT;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
640;2;DUM;22;4400;52.94117647058824;60.0;50.0;50.0;50.0;0;0;0;0
641;2;DUM;22;4400;41.17647058823529;60.0;66.66666666666666;66.66666666666666;66.66666666666666;0;0;0;0
642;2;DUM;22;4400;55.55555555555556;25.0;0.0;0.0;0.0;1;0;0;1
643;2;DUM;22;4400;55.55555555555556;25.0;0.0;0.0;0.0;1;0;0;1
644;2;DUM;22;4400;55.55555555555556;25.0;0.0;0.0;0.0;1;0;0;1
655;2;KNN;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
656;2;KNN;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
657;2;KNN;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
658;2;KNN;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
659;2;KNN;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
670;2;MLP;22;4400;52.94117647058824;40.0;40.0;100.0;57.14285714285714;1;0;0;1
671;2;MLP;22;4400;47.05882352941176;60.0;60.0;100.0;75.0;0;0;0;0
672;2;MLP;22;4400;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
673;2;MLP;22;4400;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
674;2;MLP;22;4400;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
650;2;NB;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
651;2;NB;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
652;2;NB;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
653;2;NB;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
654;2;NB;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
665;2;RF;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
666;2;RF;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
667;2;RF;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
668;2;RF;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
669;2;RF;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
675;2;SVM;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
676;2;SVM;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
677;2;SVM;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
678;2;SVM;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
679;2;SVM;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
660;2;XGB;22;4400;52.94117647058824;40.0;40.0;100.0;57.14285714285714;1;0;0;1
661;2;XGB;22;4400;52.94117647058824;40.0;0.0;0.0;0.0;1;0;0;1
662;2;XGB;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
663;2;XGB;22;4400;100.0;75.0;100.0;50.0;66.66666666666666;1;0;0;1
664;2;XGB;22;4400;100.0;100.0;100.0;100.0;100.0;0;1;1;1
765;2;DT;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
766;2;DT;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
767;2;DT;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
768;2;DT;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
769;2;DT;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
760;2;DUM;25;3872;65.0;66.66666666666666;66.66666666666666;66.66666666666666;66.66666666666666;0;0;0;0
761;2;DUM;25;3872;61.90476190476191;60.0;50.0;50.0;50.0;0;0;0;0
762;2;DUM;25;3872;61.90476190476191;60.0;50.0;50.0;50.0;0;0;0;0
763;2;DUM;25;3872;42.85714285714285;60.0;66.66666666666666;66.66666666666666;66.66666666666666;0;0;0;0
764;2;DUM;25;3872;42.85714285714285;60.0;66.66666666666666;66.66666666666666;66.66666666666666;0;0;0;0
775;2;KNN;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
776;2;KNN;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
777;2;KNN;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
778;2;KNN;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
779;2;KNN;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
790;2;MLP;25;3872;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
791;2;MLP;25;3872;52.38095238095239;40.0;40.0;100.0;57.14285714285714;1;0;0;1
792;2;MLP;25;3872;52.38095238095239;40.0;40.0;100.0;57.14285714285714;1;0;0;1
793;2;MLP;25;3872;47.61904761904761;60.0;60.0;100.0;75.0;0;0;0;0
794;2;MLP;25;3872;47.61904761904761;60.0;60.0;100.0;75.0;0;0;0;0
770;2;NB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
771;2;NB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
772;2;NB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
773;2;NB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
774;2;NB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
785;2;RF;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
786;2;RF;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
787;2;RF;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
788;2;RF;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
789;2;RF;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
795;2;SVM;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
796;2;SVM;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
797;2;SVM;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
798;2;SVM;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
799;2;SVM;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
780;2;XGB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
781;2;XGB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
782;2;XGB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
783;2;XGB;25;3872;100.0;80.0;100.0;66.66666666666666;80.0;1;0;0;1
784;2;XGB;25;3872;100.0;100.0;100.0;100.0;100.0;0;1;1;1
